address,tx,ty,tz
0x2290d048c08,1,1,1
0x2290d048c0c,1,1,0
0x2290d048c10,1,0,0
0x2290d048c14,0,0,0
0x2290d048c18,0,0,1
0x2290d048c20,1,0,0
0x2290d048c44,0,-0.00102379,1.20202
0x2290d048c4c,1.20202,0.00256683,0
0x2290d048cb4,1,3.58732e-43,0
0x2290d048ce4,0,3.47226,2.47593
0x2290d048ce8,3.47226,2.47593,3.1134
0x2290d048cec,2.47593,3.1134,-4.02492
0x2290d048cf0,3.1134,-4.02492,-8.90744
0x2290d048cf4,-4.02492,-8.90744,-8.12013
0x2290d048cf8,-8.90744,-8.12013,3.74859
0x2290d048cfc,-8.12013,3.74859,5.69169
0x2290d048d00,3.74859,5.69169,5.61677
0x2290d048d04,5.69169,5.61677,1.4013e-45
0x2290d08b7cc,7.34377,1.4013e-45,0
0x2290d08b810,0,0,0
0x2290d08b814,0,0,1
0x2290d08b818,0,1,1
0x2290d08b820,1,1,1
0x2290d08b824,1,1,0
0x2290d08b854,1.73364,316.717,1
0x2290d08b85c,1,1,1
0x2290d08b860,1,1,1
0x2290d08b88c,0,0,1
0x2290d08b890,0,1,1
0x2290d08b894,1,1,1
0x2290d08b89c,1,-8.2497e-35,7.74918e-43
0x2290d08b914,1,1,1
0x2290d08b918,1,1,1
0x2290d08b91c,1,1,0
0x2290d08b920,1,0,0
0x2290d08b924,0,0,0
0x2290d08b928,0,0,1
0x2290d08b930,1,0,0
0x2290d08b948,1,0,0
0x2290d08b954,0,0,1
0x2290d08b95c,1,0,0
0x2290d08b964,0,0,0
0x2290d08b980,316.717,1,1
0x2290d08b984,1,1,0
0x2290d08b988,1,0,0
0x2290d08b9c4,1,3.58732e-43,0
0x2290d08b9f4,0,32.2399,33.3703
0x2290d08b9f8,32.2399,33.3703,2.59958
0x2290d08b9fc,33.3703,2.59958,-32.2399
0x2290d08ba00,2.59958,-32.2399,-31.1095
0x2290d08ba04,-32.2399,-31.1095,-2.59958
0x2290d08ba08,-31.1095,-2.59958,32.2399
0x2290d08ba0c,-2.59958,32.2399,32.2399
0x2290d08ba10,32.2399,32.2399,2.59958
0x2290d08ba14,32.2399,2.59958,1.4013e-45
0x2290d08bb3c,7.34389,1.4013e-45,0
0x2290d08bb80,0,0,0
0x2290d08bb84,0,0,2.5
0x2290d08bb88,0,2.5,2.5
0x2290d08bb90,2.5,2.5,1
0x2290d08bb94,2.5,1,0
0x2290d08bbcc,2.5,2.5,2.5
0x2290d08bbd0,2.5,2.5,1
0x2290d08bc0c,2.5,-8.25745e-35,7.74918e-43
0x2290d08bc84,1,1,1
0x2290d08bc88,1,1,1
0x2290d08bc8c,1,1,0
0x2290d08bc90,1,0,0
0x2290d08bc94,0,0,0
0x2290d08bc98,0,0,1
0x2290d08bca0,1,0,0
0x2290d08bcb8,2.5,0,0
0x2290d08bcc4,0,0,2.5
0x2290d08bccc,2.5,0,0
0x2290d08bcd4,0,0,0
0x2290d08bd28,-494.493,-0.693457,-132.626
0x2290d08bd34,1,3.58732e-43,0
0x2290d08bd64,0,294.307,64.9632
0x2290d08bd68,294.307,64.9632,102.453
0x2290d08bd6c,64.9632,102.453,-294.307
0x2290d08bd70,102.453,-294.307,-64.9632
0x2290d08bd74,-294.307,-64.9632,-102.453
0x2290d08bd78,-64.9632,-102.453,294.307
0x2290d08bd7c,-102.453,294.307,64.9632
0x2290d08bd80,294.307,64.9632,102.453
0x2290d08bd84,64.9632,102.453,1.4013e-45
0x2290d08dd9c,7.34436,1.4013e-45,0
0x2290d08ddf0,2.50916,2.50916,1
0x2290d08ddf4,2.50916,1,0
0x2290d08de2c,2.50916,2.50916,2.50916
0x2290d08de30,2.50916,2.50916,1
0x2290d08de34,2.50916,1,0
0x2290d08de3c,0,0,0
0x2290d08de40,0,0,1
0x2290d08de48,1,0,0
0x2290d08de6c,1,-8.27207e-35,7.74918e-43
0x2290d08dee4,1,1,1
0x2290d08dee8,1,1,1
0x2290d08deec,1,1,0
0x2290d08def0,1,0,0
0x2290d08def4,0,0,0
0x2290d08def8,0,0,1
0x2290d08df00,1,0,0
0x2290d08df18,2.50916,0,0
0x2290d08df24,0,0,2.50916
0x2290d08df2c,2.50916,0,0
0x2290d08df34,0,0,0
0x2290d08df80,0.39854,0,0
0x2290d08df88,0,0,0
0x2290d08df94,1,3.58732e-43,0
0x2290d08dfbc,0,0,0
0x2290d08dfc0,0,0,6.10445
0x2290d08dfc4,0,6.10445,28.744
0x2290d08dfc8,6.10445,28.744,10.98
0x2290d08dfcc,28.744,10.98,-25.1562
0x2290d08dfd0,10.98,-25.1562,-0.862188
0x2290d08dfd4,-25.1562,-0.862188,-4.47279
